Regional-Schlüssel;Stadtkreis/kreisfreie Stadt/Landkeis;within;home;incoming;outgoing
010010000000;Flensburg, Stadt;26400;2390;23400;11030
010020000000;Kiel, Landeshauptstadt;83910;6490;64940;25950
010030000000;Lübeck, Hansestadt;69530;5550;41190;22430
010040000000;Neumünster, Stadt;23220;1380;17940;11040
010510011011;Brunsbüttel, Stadt;3680;380;5700;1610
010510044044;Heide, Stadt;5170;560;9540;3590
010530032032;Geesthacht, Stadt;5400;820;8030;8310
010530083083;Lauenburg/ Elbe, Stadt;1640;220;2830;3150
010530090090;Mölln, Stadt;3720;470;4960;4240
010530100100;Ratzeburg, Stadt;2260;350;4890;3330
010530116116;Schwarzenbek, Stadt;2030;480;3790;4890
010530129129;Wentorf bei Hamburg;900;380;2260;4510
010540056056;Husum, Stadt;7170;380;12920;2800
010540168168;Sylt;5510;540;5790;1450
010550004004;Bad Schwartau, Stadt;2060;600;5020;6520
010550012012;Eutin, Stadt;3780;480;7310;3430
010550028028;Malente;1810;330;1570;2650
010550032032;Neustadt in Holstein, Stadt;3750;310;5680;2910
010550035035;Ratekau;1540;380;2710;5980
010550040040;Stockelsdorf;1390;670;2540;6820
010550044044;Scharbeutz;1070;420;1920;3620
010550046046;Fehmarn, Stadt;4010;560;1730;1440
010560015015;Elmshorn, Stadt;9200;1850;11910;12400
010560018018;Halstenbek;970;630;2750;7060
010560039039;Pinneberg, Stadt;5290;1180;10810;14260
010560041041;Quickborn, Stadt;2320;660;5550;7140
010560043043;Rellingen;1010;450;5990;5440
010560044044;Schenefeld, Stadt;1760;460;4840;7220
010560048048;Tornesch, Stadt;1330;400;3550;4930
010560049049;Uetersen, Stadt;2750;430;4440;5430
010560050050;Wedel, Stadt;5600;1170;7740;8760
010570057057;Plön, Stadt;1770;240;3910;1910
010570062062;Preetz, Stadt;2610;270;3620;4360
010570091091;Schwentinental, Stadt;1220;420;4700;4900
010580034034;Büdelsdorf, Stadt;1140;170;3840;3270
010580043043;Eckernförde, Stadt;5260;630;7140;4400
010580092092;Kronshagen;810;290;3840;4520
010580135135;Rendsburg, Stadt;6430;580;14540;5230
010590075075;Schleswig, Stadt;6200;590;11240;3990
010590120120;Harrislee;1200;310;3520;3520
010590183183;Handewitt;1060;290;3140;4080
010600004004;Bad Bramstedt, Stadt;2370;350;4410;3970
010600005005;Bad Segeberg, Stadt;3990;660;8640;3680
010600039039;Henstedt-Ulzburg;3160;990;5530;9940
010600044044;Kaltenkirchen, Stadt;3300;570;7390;6090
010600063063;Norderstedt, Stadt;12750;2370;25650;22800
010610029029;Glückstadt, Stadt;2090;360;2380;2740
010610046046;Itzehoe, Stadt;8200;700;12910;5330
010620001001;Ahrensburg, Stadt;4540;1590;14550;8940
010620004004;Bad Oldesloe, Stadt;4450;1000;8240;6430
010620006006;Bargteheide, Stadt;2120;500;4500;5230
010620009009;Barsbüttel;1140;430;5090;4530
010620018018;Glinde, Stadt;1500;500;6020;6460
010620060060;Reinbek, Stadt;2740;1300;8640;9200
020000000000;Hamburg, Freie und Hansestadt;723460;56140;331070;92180
031010000000;Braunschweig, Stadt;81380;6460;63290;28730
031020000000;Salzgitter, Stadt;28030;1740;26820;11300
031030000000;Wolfsburg, Stadt;47230;2170;68020;7450
031510009009;Gifhorn, Stadt;8920;1220;13520;8490
031510025025;Sassenburg;610;200;580;4670
031510040040;Wittingen, Stadt;2840;430;2320;2380
