rs;name;within;home;incoming;outgoing
01001;Flensburg, Stadt;26400;2390;23400;11030
01002;Kiel, Landeshauptstadt;83910;6490;64940;25950
01003;Lübeck, Hansestadt;69530;5550;41190;22430
01004;Neumünster, Stadt;23220;1380;17940;11040
01051;Dithmarschen;18920;4150;33840;37870
01053;Herzogtum Lauenburg;21590;6260;39560;65980
01054;Nordfriesland;30340;6580;45920;45610
01055;Ostholstein;31340;7500;44510;57810
01056;Pinneberg;36390;10810;70340;105020
01057;Plön;13190;4440;25080;44510
01058;Rendsburg-Eckernförde;31070;8340;67810;93790
01059;Schleswig-Flensburg;22620;7850;46270;65100
01060;Segeberg;34790;8880;70620;90580
01061;Steinburg;17500;4150;29020;42750
01062;Stormarn;23720;9330;67590;85090
02000;Hamburg, Freie und Hansestadt;723460;56140;331070;92180
03101;Braunschweig, Stadt;81380;6460;63290;28730
03102;Salzgitter, Stadt;28030;1740;26820;11300
03103;Wolfsburg, Stadt;47230;2170;68020;7450
03151;Gifhorn;19550;4390;27350;60080
03152;Göttingen;61620;7050;61320;52090
03153;Goslar;30790;3830;27630;29060
03154;Helmstedt;11660;2040;15230;28530
03155;Northeim;28520;3890;25020;31860
03156;Osterode am Harz;15070;2180;18260;16920
03157;Peine;18320;3220;19420;40040
03158;Wolfenbüttel;14800;2770;17550;40440
03241;Region Hannover;266870;29480;312710;249700
03251;Diepholz;33820;7770;48460;67900
03252;Hameln-Pyrmont;30930;4370;32280;34230
03254;Hildesheim;51340;7410;59290;71100
03255;Holzminden;12360;1350;17110;18890
03256;Nienburg (Weser);20460;3230;27590;36310
03257;Schaumburg;21580;4730;33810;48080
03351;Celle;34710;6400;35460;43100
03352;Cuxhaven;33340;6700;30430;55760
03353;Harburg;28420;8970;43290;85580
03354;Lüchow-Dannenberg;7040;2420;11230;12530
03355;Lüneburg;30190;4660;38850;52150
03356;Osterholz;15040;4180;19230;37340
03357;Rotenburg (Wümme);28930;5540;41500;51020
03358;Soltau-Fallingbostel;30010;3910;30270;33200
03359;Stade;30960;6970;42870;61060
03360;Uelzen;16820;2560;19220;23640
03361;Verden;21800;3830;33180;39970
03401;Delmenhorst, Stadt;14740;1290;12700;17440
03402;Emden, Stadt;18100;1190;18680;3390
03403;Oldenburg (Oldenburg), Stadt;55690;4540;40300;21580
03404;Osnabrück, Stadt;51060;5330;56540;22000
03405;Wilhelmshaven, Stadt;24970;2170;14310;6640
03451;Ammerland;22890;3690;28130;33030
03452;Aurich;33980;6680;31320;43930
03453;Cloppenburg;35000;6730;35340;39360
03454;Emsland;75280;9170;79560;75880
03455;Friesland;18310;3330;20080;25490
03456;Grafschaft Bentheim;29130;5310;26680;34300
03457;Leer;28640;5740;28580;42240
03458;Oldenburg;20690;4050;22980;40310
03459;Osnabrück;64310;11810;72660;108040
03460;Vechta;35670;4320;38430;32630
03461;Wesermarsch;19100;3130;14610;21230
03462;Wittmund;9700;2270;11160;14710
04011;Bremen, Stadt;207440;14150;110160;37930
04012;Bremerhaven, Stadt;36040;1150;27730;9460
05111;Düsseldorf, Stadt;201290;18830;244360;77760
05112;Duisburg, Stadt;120680;9520;91620;79070
05113;Essen, Stadt;166450;12200;119520;80750
05114;Krefeld, Stadt;61910;6690;49350;36310
05116;Mönchengladbach, Stadt;70210;7440;41850;40870
05117;Mülheim an der Ruhr, Stadt;36790;4290;34680;36370
05119;Oberhausen, Stadt;44320;4260;35890;46020
05120;Remscheid, Stadt;33470;3010;19300;15290
05122;Solingen, Stadt;46090;3880;16880;25290
05124;Wuppertal, Stadt;105360;9290;48130;44110
05154;Kleve;60250;10380;56250;83320
05158;Mettmann;81450;16110;128870;136650
05162;Rhein-Kreis Neuss;76640;13820;98600;123430
05166;Viersen;51300;8830;60800;86680
05170;Wesel;75990;12780;91350;131720
05314;Bonn, Stadt;102110;10210;118150;42390
05315;Köln, Stadt;350190;36220;253230;117820
05316;Leverkusen, Stadt;39980;3970;37210;29800
05334;Städteregion Aachen;125290;15320;116810;115720
05358;Düren;42600;7470;56170;72530
05362;Rhein-Erft-Kreis;65140;13980;102350;140370
05366;Euskirchen;32560;6060;37350;53950
05370;Heinsberg;39690;6890;45620;72520
05374;Oberbergischer Kreis;53440;7170;61710;71860
05378;Rheinisch-Bergischer Kreis;46590;9120;50800;82160
05382;Rhein-Sieg-Kreis;76530;17720;114010;193330
05512;Bottrop, Stadt;24720;2120;20570;27120
05513;Gelsenkirchen, Stadt;56280;3990;42920;42460
05515;Münster, Stadt;112970;8230;77470;32810
05554;Borken;96680;11550;69790;82560
05558;Coesfeld;42240;6600;39490;63170
05562;Recklinghausen;105790;12990;104170;157110
05566;Steinfurt;91260;11800;94340;117470
05570;Warendorf;56490;8780;53170;70710
05711;Bielefeld, Stadt;112140;7550;61320;32710
05754;Gütersloh;83110;9350;100410;86810
05758;Herford;43890;7030;63870;71770
05762;Höxter;32100;3790;26130;34530
05766;Lippe;66620;9930;72400;90520
05770;Minden-Lübbecke;63380;9420;76870;75330
05774;Paderborn;78140;8660;62930;64410
05911;Bochum, Stadt;99950;9480;68270;59620
05913;Dortmund, Stadt;172270;11800;94670;75210
05914;Hagen, Stadt;54560;4330;31980;26200
05915;Hamm, Stadt;51000;4870;22280;23810
05916;Herne, Stadt;30630;2190;26070;32470
05954;Ennepe-Ruhr-Kreis;56370;8830;70930;91450
05958;Hochsauerlandkreis;79800;7580;43930;46760
05962;Märkischer Kreis;105630;10470;85940;88310
05966;Olpe;33570;3980;31860;33410
05970;Siegen-Wittgenstein;66930;8090;69490;63530
05974;Soest;68000;8360;63740;70040
05978;Unna;64500;8320;82280;105500
06411;Darmstadt, Wissenschaftsstadt;39980;7010;79220;25010
06412;Frankfurt am Main, Stadt;247820;20990;342530;82970
06413;Offenbach am Main, Stadt;20310;3520;36720;30020
06414;Wiesbaden, Landeshauptstadt;81130;8110;79460;44400
06431;Bergstraße;37480;10580;53880;85860
06432;Darmstadt-Dieburg;31000;10000;55350;105120
06433;Groß-Gerau;32480;7330;74860;86190
06434;Hochtaunuskreis;29300;10070;66940;74100
06435;Main-Kinzig-Kreis;56230;13370;94840;132130
06436;Main-Taunus-Kreis;23330;7630;77190;84220
06437;Odenwaldkreis;14280;3140;19840;30050
06438;Offenbach;42300;12520;90920;113280
06439;Rheingau-Taunus-Kreis;22300;7320;35490;63880
06440;Wetteraukreis;38270;10970;64280;98810
06531;Gießen;40290;7440;75190;76990
06532;Lahn-Dill-Kreis;42040;6810;69460;75970
06533;Limburg-Weilburg;21660;5160;42060;55920
06534;Marburg-Biedenkopf;47220;6920;62430;67390
06535;Vogelsbergkreis;19260;3800;20320;30970
06611;Kassel, documenta-Stadt;61240;5640;72100;23180
06631;Fulda;40420;6140;66830;61750
06632;Hersfeld-Rotenburg;21580;3340;36320;32220
06633;Kassel;27580;8130;56360;81090
06634;Schwalm-Eder-Kreis;27660;5100;39800;56680
06635;Waldeck-Frankenberg;35010;4860;38250;39600
06636;Werra-Meißner-Kreis;18040;3200;19740;26690
07111;Koblenz, Stadt;35620;4180;57400;15290
